1,2,3,4,5,6,7,8,9,10
0.651,0.608,0.263,0.624,0.706,0.549,0.671,0.627,0.643,0.627
0.608,0.263,0.651,0.706,0.549,0.584,0.627,0.643,0.616,0.627
0.263,0.651,0.631,0.549,0.584,0.647,0.643,0.616,0.62,0.627
0.651,0.631,0.592,0.584,0.647,1.0,0.616,0.62,0.639,0.627
0.631,0.592,0.675,0.647,1.0,0.584,0.62,0.639,0.608,0.627
0.592,0.675,0.435,1.0,0.584,0.588,0.639,0.608,0.447,0.627
0.675,0.435,0.0,0.584,0.588,0.369,0.608,0.447,0.38,0.502
0.435,0.0,0.412,0.588,0.369,0.376,0.447,0.38,0.396,0.376
0.0,0.412,0.392,0.369,0.376,0.38,0.38,0.396,0.455,0.376
0.412,0.392,0.396,0.376,0.38,0.278,0.396,0.455,0.396,0.376
0.392,0.396,0.443,0.38,0.278,0.447,0.455,0.396,0.345,0.376
0.396,0.443,0.443,0.278,0.447,0.514,0.396,0.345,0.486,0.376
0.443,0.443,0.49,0.447,0.514,0.463,0.345,0.486,0.498,0.502
0.443,0.49,0.502,0.514,0.463,0.129,0.486,0.498,0.478,0.502
0.49,0.502,0.506,0.463,0.129,0.482,0.498,0.478,0.541,0.502
0.502,0.506,0.871,0.129,0.482,0.514,0.478,0.541,0.459,0.502
0.506,0.871,0.506,0.482,0.514,0.569,0.541,0.459,0.384,0.502
0.871,0.506,0.478,0.514,0.569,0.51,0.459,0.384,0.545,0.502
0.506,0.478,0.498,0.569,0.51,0.482,0.384,0.545,0.565,0.502
0.478,0.498,0.525,0.51,0.482,0.486,0.545,0.565,0.459,0.502
0.498,0.525,0.506,0.482,0.486,0.49,0.565,0.459,0.553,0.502
0.525,0.506,0.49,0.486,0.49,0.518,0.459,0.553,0.494,0.502
0.506,0.49,0.475,0.49,0.518,0.482,0.553,0.494,0.533,0.502
0.49,0.475,0.525,0.518,0.482,0.557,0.494,0.533,0.412,0.502
0.475,0.525,0.467,0.482,0.557,0.49,0.533,0.412,0.502,0.502
0.525,0.467,0.545,0.557,0.49,0.467,0.412,0.502,0.514,0.502
0.467,0.545,0.514,0.49,0.467,0.592,0.502,0.514,0.478,0.502
0.545,0.514,0.498,0.467,0.592,0.431,0.514,0.478,0.467,0.502
0.514,0.498,0.51,0.592,0.431,0.494,0.478,0.467,0.573,0.502
0.498,0.51,0.129,0.431,0.494,0.494,0.467,0.573,0.478,0.502
0.51,0.129,0.518,0.494,0.494,0.435,0.573,0.478,0.514,0.502
0.129,0.518,0.486,0.494,0.435,0.553,0.478,0.514,0.525,0.502
0.518,0.486,0.498,0.435,0.553,0.094,0.514,0.525,0.455,0.502
0.486,0.498,0.514,0.553,0.094,0.082,0.525,0.455,0.529,0.502
0.498,0.514,0.514,0.094,0.082,0.498,0.455,0.529,0.471,0.502
